學號,最高學歷畢業學校
b81S62783,延平高中
51eS64897,中崙高中
b0aS67291,大直高中
348S613ee,第一女中
61fS6443b,新莊高中
686S6e5d0,中壢高中
4caS6cbaa,中壢高中
974S674d3,中興大學附中
249S68e88,師範大學附中
9e9S6626b,松山高中
92bS64b52,西松高中
9b2S6ba62,成功高中
6adS6b863,成功高中
714S68b15,第一女中
151S6f163,延平高中
3dcS64bd1,成淵高中
219S649c0,成功高中
38dS6d197,景美女中
ee4S69f67,麗山高中
c02S6feee,復興實驗高中
32dS6b1e2,明倫高中
7e2S68ecd,中崙高中
263S64b26,薇閣高中
93cS662e2,中崙高中
1dcS6bad5,第一女中
e16S6d634,中山女中
b1fS62c28,中山女中
e02S6d947,第一女中
167S64f5a,中山女中
8b2S6f7e8,內湖高中
781S68208,中和高中
8a2S6ae9d,新莊高中
e6bS60649,華江高中
aacS66da9,景美女中
aa9S643f7,中和高中
438S66096,桃園高中
356S62bfc,中山女中
51eS63b43,復旦高中
901S60aaf,新竹女中
834S69bdc,新竹高中
a34S607dc,立人高中
fb8S68fd7,文華高中
973S6150f,台中一中高中
dadS621eb,文華高中
fd9S6f055,新營高中
5a4S651e8,興國高中
6c2S60c2c,鳳和高中
89cS6619c,高雄女中
b67S66f0f,高雄女中
9a2S64a3d,高雄女中
c96S69bd3,鳳山高中
e25S6ebd2,高雄師範大學附中
4d5S68d92,羅東高中
65cS698fa,景美女中
f17S6288d,薇閣高中
380S66f73,松山高中
7b4S61651,清水高中
03cS61329,黎明高中
b02S6e7b7,高雄女中
633S68beb,高雄師範大學附中
f22S60598,高雄女中
e15S6c813,花蓮女中
6efS601ac,中山女中
160S64f02,永平高中
09aS68aa8,建臺高中
12cS62865,高雄女中
c14S684c3,新竹高中
831S6534b,內湖高中
476S64ec7,明倫高中
a07S62124,新莊高中
bc0S60d2d,中和高中
e34S6b336,基隆高中
53dS63336,錦和高中
be1S6a115,南崁高中
b46S6c4e8,弘文高中
78fS69133,斗六高中
6c0S6e6ae,台南二中高中
eafT116c5,師範大學附中
ffeT17a6a,松山高中
b63T1b81e,師範大學附中
436T1795d,建國高中
95fT15139,內湖高中
7a6T18044,政治大學附中
4fbT10de5,成淵高中
aadT1afe0,中崙高中
2d2T1d735,中山女中
0deT1facf,板橋高中
5ffT17774,板橋高中
e14T1c26c,金陵女中
998T1f588,師範大學附中
fb2T18d47,中正高中
5d8T18743,桃園高中
4e6T1c3e5,桃園高中
034T10113,平鎮高中
b1bT16344,內壢高中
245T16e52,新竹女中
0ddT1e1ca,科學園區實驗高中
eb7T1af6e,台中一中高中
9ffT1219a,台中女中
792T1809f,中興大學附中
d8cT1f368,衛道高中
23eT1d324,台中女中
419T1feaa,嘉義女中
892T1f529,嘉義女中
e68T147f2,蘭陽女中
909T19d96,海星高中
dbeT18443,前鎮高中
5d4T120e2,成功高中
5ccT1612d,衛理女中
5eeT14358,中興大學附中
f90T1e3bc,高雄女中
5ecT16957,中正高中
970T1a45c,萬芳高中
645T150fb,華僑高中
1d4T13f56,光仁高中
b28T176f0,高雄市立三民高中
7adT11a8b,師範大學附中
ad0T1bac8,松山高中
7edT1789c,大同高中
52aT16bc0,大同高中
e42T19fa8,成淵高中
63dT17b1d,中崙高中
d6bT1e174,台北市立陽明高中
a2fT15d23,中正高中
c9eT1b964,大直高中
6a6T1e30d,景美女中
255T137bb,第一女中
a77T1748d,南湖高中
862T19b9c,板橋高中
2d0T1c561,松山高中
a59T1f444,松山高中
de5T1bd95,中山女中
971T18ebc,長億高中
f01T13c9e,文華高中
2f0T1c1d1,清水高中
ffeT10f2a,豐原高中
552T1cb83,高雄女中
589T1a30c,前鎮高中
619T12084,高雄女中
733T1cf78,高雄女中
0b6T1dfed,鳳山高中
2b7T1e7de,鳳新高中
0ccT19e9e,蘭陽女中
73bT13bed,松山高中
9e7T1dc4c,陽明高中
47aT15b02,花蓮女中
401T19f8a,蘭陽女中
fc2T1a93b,清水高中
5edT1f958,嶺東高中
dcaT172c2,東山高中
2ebT1008e,和平高中
cfdT108d5,大同高中
6b6T18c9a,永春高中
b1dT1dfb5,永春高中
ca2T1a389,中崙高中
99eT1e4ae,中正高中
acaT10a00,中山女中
774T1798b,中山女中
2c5T16914,第一女中
220T1a44c,中山女中
c25T1b73a,景美女中
5daT1e70f,中山女中
900T1cfc6,內湖高中
285T10f1a,內湖高中
1e4T1c5f9,內湖高中
28cT19ebf,明德高中
465T14101,松山高中
68cT10fb3,松山高中
999T1860a,板橋高中
98bT1e420,中山女中
101T13350,武陵高中
06eT181b9,台中女中
a79T1c1e1,文華高中
e30T119de,文華高中
188T1eba6,協同高中
52eT1632d,台南大學附中
ecaT1600f,高雄女中
7d0T14049,聖功女中
bc0T15ddc,海山高中
b4eT1e739,建臺高中
472T13e3a,台南女中
f8fT1a65d,馬祖高中
eb5T10ac7,高雄市立中正高中
8d4T16663,復興高中
aedT1a004,華江高中
d5bT12df4,竹北高中
d58T1ed3d,成功高中
2d2T1a73c,成功高中
c5aT1471f,大直高中
2c1T1aad6,再興高中
6d8T10ad3,成淵高中
edbT1fd20,大直高中
5cdT1e1fb,中正高中
82dT1cd51,中山女中
f85T1035e,中山女中
fdeT12cd1,板橋高中
c42T123c1,海山高中
34bT18eb8,中正高中
9dfT15e35,新莊高中
279T1a2f0,中和高中
16fT13399,景美女中
550T1e681,內湖高中
d1bT19a93,台中女中
203T1992d,台中女中
a6fT1b563,嘉義高中
fedT11f1f,高雄市立中正高中
f7bT116bd,花蓮高中
9f0T1c0d7,花蓮高中
8faT169c4,百齡高中
c9bT1431e,建國高中
9feT157b1,淡水商工
124T16bc7,斗六高中
47bT17398,東山高中
d7aT13956,華江高中
22eT1e5c9,景美女中
fe1T145ca,中山女中
145T1ee12,板橋高中
078T1062f,政治大學附中
2cbT1a2d6,建國高中
68fT19cda,桃園高中
bcaT1c741,台中女中
fd2T163b8,鳳新高中
d4dT10d95,鳳山高中
afdT1b7f3,政治大學附中
e9cT1fe7f,板橋高中
c48T18326,內湖高中
d0cT1934c,內湖高中
550T10944,大同高中
e12T1e2f0,成淵高中
ff2T1e264,東山高中
15dT1fe10,明倫高中
187T156cd,華江高中
47bT19686,中崙高中
a8aT13f93,海山高中
bd7T138be,海山高中
874T1f662,永豐高中
2b7T1a3e4,台中二中高中
e35T1ec14,文華高中
28aT12a6e,立人高中
85cT1b7bc,僑泰高中
57fT1e404,板橋高中
1e9T111b1,台北市立陽明高中
b81T121ae,新店高中
e79T1af9c,成功高中
f8bT1f75a,建國高中
fa0T18dec,第一女中
5afT17513,麗山高中
84aT1581c,中山女中
e47T1d71c,大同高中
324T17e62,新店高中
653T114cf,延平高中
dd0T16ef9,中正高中
5d3T19c04,永平高中
11bT10f63,竹林高中
c60T1fc83,中壢高中
216T1489f,中壢高中
7bfT15d03,中壢高中
21cT1b839,中壢高中
444T15a79,新竹高中
62bT12227,文華高中
e79T16889,台中一中高中
229T1c1be,衛道高中
600T18f00,第一女中
579T1fb4b,台南女中
044T1d5de,高雄女中
d4eT16717,建國高中
8c8T19c9b,建國高中
dbfT18810,松山高中
1a4T1e8bb,松山高中
f2fT14e71,復旦高中
a4fT1ea8c,港明高中
7dfT11cc9,大同高中
1caT1e1e3,高雄高中
9aaT17750,基隆女中
2eaT14839,立人高中
d81T1830d,僑泰高中
c9bT1c49a,新民高中
b90W967cb,師範大學附中
5faW9a535,成功高中
ffbW9721a,大同高中
9eeW90515,中崙高中
701W9e8f7,再興高中
b7eW90661,第一女中
f2dW9886f,第一女中
ed3W9bb40,薇閣高中
202W972c5,南湖高中
3f3W98004,內湖高中
7a2W9e752,大直高中
a4eW99bb9,板橋高中
4e3W9f22c,麗山高中
84bW93166,中壢高中
d0cW9eb2a,新竹女中
9b0W9407a,台中一中高中
429W98ada,台中女中
892W993e2,台中二中高中
95cW93285,明道高中
beeW9ea48,台南女中
fcfW993e2,台南一中高中
39cW99a63,瑞祥高中
ec1W9d3ee,高雄高中
b3aW9c8d1,高雄女中
6e2W90be1,曉明女中
1d8W91881,彰化高中
a71W9e854,文華高中
59fW9f2bc,成功高中
cd5W90df2,景美女中
e6eW9c457,景美女中
2e2W9814f,基隆女中
a79W9cd29,桃園高中
5d7W95c62,文華高中
0a1W9fb38,台中一中高中
769W99285,曉明女中
860W98100,台南一中高中
c71W9b6bb,高雄高中
767W9faf0,高雄高中
60eW93d23,高雄女中
28dW98559,港明高中
d44W99424,成功高中
cebW9a943,師範大學附中
778W9577f,成淵高中
ed4W904d2,復興實驗高中
3e4W95a65,景美女中
22dW93a49,第一女中
510W91c28,海山高中
2b3W9eabf,松山高中
d3eW9461a,第一女中
473W9a2d9,第一女中
16eW961c2,治平高中
bf0W9eec6,明道高中
2e1W9e2c2,衛道高中
e08W930c7,文華高中
2abW9c500,台中女中
07aW9ce1f,文華高中
1c5W9cab9,文華高中
c6fW906ad,彰化高中
604W953c8,台南女中
9efW9b7ca,長榮高中
995W9ab37,高雄女中
fdbW9e10a,高雄高中
091W9e340,台中一中高中
482W958cb,成功高中
50bW98f4b,中山女中
19dW93788,文華高中
91fW993e2,衛道高中
79dW96245,惠文高中
ed4W9f166,台中一中高中
207W927d4,中興大學附中
62fW9adf0,台中女中
976W9d7f5,立人高中
93eW976fc,台中女中
c41W9216f,曉明女中
916W96239,港明高中
98eW98b78,南光高中
56dW99bc8,花蓮高中
7bfW9e4b8,中壢高中
74eW91d00,員林高中
c49W9a4d2,台南二中高中
472W993e5,花蓮女中
90dW902cc,成功高中
108W92e8e,大同高中
49bW9d20a,建國高中
c56W9048e,景美女中
9bbW9f213,成淵高中
fd3W9b91e,景美女中
8c8W93c17,台中女中
479W9ee8e,文華高中
9efW9aea5,忠明高中
677W9f44d,中興大學附中
6cbW90c6f,台中女中
890W9c151,明道高中
bf9W9e2c9,彰化女中
435W9d268,彰化女中
684W94208,嘉義高中
2b6W9cd18,台南女中
f05W9e0d7,台南女中
eb7W90883,台南女中
541W9796d,台南一中高中
ae8W9a066,興國高中
662W9c5d9,高雄女中
157W98f26,高雄女中
426W95d84,高雄女中
9b1W992fa,高雄師範大學附中
891W9e86d,高雄師範大學附中
8aaW9fe39,鳳新高中
1c9W91fb8,新興高中
467W9d761,羅東高中
849W94355,高雄高中
bdbW97964,第一女中
512W92fd3,政治大學附中
b21W97b68,大同高中
453W9e079,松山高中
552W97592,武陵高中
630W9dec1,新竹女中
5f8W9e468,衛道高中
e5eW90f2a,中興高中
af9W9437b,彰化女中
895W94ffd,正心高中
89cW93dc4,港明高中
992W96406,興國高中
632W93071,高雄高中
8a1W92832,文華高中
8f9W97f42,道明高中
ea1W93b2c,師範大學附中
d7dW93835,師範大學附中
6d4W977ec,師範大學附中
061W9a906,西松高中
84aW90eac,松山高中
8fbW92670,中崙高中
b4dW9e0d7,延平高中
37fW91a52,和平高中
61aW98dce,政治大學附中
f87W9af53,松山高中
1b1W922ce,延平高中
b84W90592,大直高中
cb8W9ccec,中山女中
83aW992ea,景美女中
b9fW9361e,中山女中
a4eW995fb,景美女中
e43W9f2b9,中山女中
210W9a181,中正高中
266W925bf,薇閣高中
dc2W93c13,南湖高中
ae0W92d83,大直高中
57dW9e4b0,中和高中
98cW995bc,中和高中
da0W91c37,海山高中
b3eW9dc79,海山高中
3b2W91ab6,西松高中
1f2W9a999,二信高中
a22W96d87,基隆高中
c69W94fee,桃園高中
f3eW91f3e,中壢高中
a2eW99f1f,中壢高中
263W95a96,新竹高中
daeW91d01,新竹女中
82cW9ecc4,新竹女中
c7aW9fc33,中興大學附中
c22W933ee,中興大學附中
475W9db46,曉明女中
703W99474,台中女中
7b5W9c468,文華高中
5cfW91ea5,台中女中
c94W95d96,文華高中
d56W9b39e,文華高中
c1cW9ba5f,台中女中
f0aW93020,台中女中
045W9b3ed,文華高中
e0cW93723,台中一中高中
244W9f106,文華高中
6daW97d1b,清水高中
869W98213,文華高中
760W9a70b,文華高中
28eW9219a,彰化女中
