入學年,經原學年期,個經學年期,總經學年期,經原PR,個經PR,總經PR,可修個體,可修總體
104,104-2,105-1,105-1,0.9333333333333333,0.78125,0.6065573770491803,1,1
104,104-2,105-1,105-1,0.3103448275862069,0.78125,0.6065573770491803,1,1
104,104-2,105-1,105-1,0.3103448275862069,0.05357142857142857,0,1,1
104,104-2,105-1,105-1,0.3103448275862069,0.78125,0.6065573770491803,1,1
104,104-2,105-1,105-1,0.9333333333333333,0.78125,0.2711864406779661,1,1
104,104-2,105-1,105-1,0.3103448275862069,0.05357142857142857,0.2711864406779661,1,1
104,104-2,105-1,105-1,0.9333333333333333,0.3888888888888889,0.2711864406779661,1,1
104,104-2,105-1,105-1,0.9333333333333333,0.05357142857142857,0.6065573770491803,1,1
104,104-2,NA,NA,0.9333333333333333,NA,NA,0,0
104,104-2,NA,NA,0.3103448275862069,NA,NA,0,0
104,104-2,105-1,105-1,0.3103448275862069,0.78125,0.6065573770491803,1,1
104,104-2,105-1,105-1,0.3103448275862069,0.05357142857142857,0.6065573770491803,1,1
104,104-2,105-1,105-1,0.3103448275862069,0.78125,0.6065573770491803,1,1
104,104-2,105-1,105-1,0.3103448275862069,0.05357142857142857,0.6065573770491803,1,1
104,104-2,105-1,105-1,0.9333333333333333,0.05357142857142857,0.2711864406779661,1,1
104,104-2,105-1,105-1,0.3103448275862069,0.05357142857142857,0.2711864406779661,1,1
105,105-1,NA,NA,0.08928571428571429,NA,NA,0,0
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.37254901960784315,1,1
105,106-2,NA,NA,0.125,NA,NA,0,0
105,105-2,106-1,106-1,0.7358490566037735,0.6904761904761905,0.37254901960784315,1,1
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.15,1,1
105,105-2,NA,106-1,0.7358490566037735,NA,0.15,1,1
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.15,1,1
105,105-2,NA,NA,0.7358490566037735,NA,NA,1,1
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.15,1,1
105,105-2,106-1,106-1,0.7358490566037735,0.6904761904761905,0.2857142857142857,1,1
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.15,1,1
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.15,1,1
105,105-2,106-1,106-1,0.7358490566037735,0.6904761904761905,0.37254901960784315,1,1
105,106-2,106-1,NA,0.125,0.6904761904761905,NA,1,0
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.15,1,1
105,105-2,106-1,106-1,0.7358490566037735,0.23529411764705882,0.15,1,1
105,105-2,106-1,106-1,0.7358490566037735,0.6904761904761905,0.15,1,1
105,106-2,NA,NA,0.125,NA,NA,0,0
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.15,1,1
105,106-1,NA,106-1,0.5573770491803278,NA,0.37254901960784315,0,1
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.15,1,1
105,105-2,106-1,106-1,0.7358490566037735,0.6904761904761905,0.15,1,1
105,106-1,NA,106-1,0.5573770491803278,NA,0.37254901960784315,0,1
105,105-2,NA,NA,0.3103448275862069,NA,NA,1,1
105,105-2,106-1,NA,0.7358490566037735,0.6904761904761905,NA,1,1
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.15,1,1
105,106-1,NA,106-1,0.5573770491803278,NA,0.15,0,1
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.15,1,1
105,105-2,106-1,106-1,0.7358490566037735,0.23529411764705882,0.15,1,1
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.15,1,1
105,105-2,106-1,106-1,0.7358490566037735,0.6904761904761905,0.15,1,1
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.15,1,1
105,105-2,106-1,106-1,0.7358490566037735,0.6904761904761905,0.15,1,1
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.37254901960784315,1,1
105,106-1,NA,106-1,0.5573770491803278,NA,0.15,0,1
105,105-2,106-1,106-1,0.7358490566037735,0.6904761904761905,0.15,1,1
105,105-2,106-1,106-1,0.7358490566037735,0.6904761904761905,0.37254901960784315,1,1
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.15,1,1
105,105-2,106-1,106-1,0.7358490566037735,0.6904761904761905,0.37254901960784315,1,1
105,105-2,106-1,106-1,0.7358490566037735,0.6904761904761905,0.37254901960784315,1,1
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.15,1,1
105,106-1,NA,106-1,1,NA,0.15,0,1
105,105-2,106-1,106-1,0.7358490566037735,0.6904761904761905,0.15,1,1
105,105-2,106-1,106-1,0.7358490566037735,0.6904761904761905,0.37254901960784315,1,1
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.15,1,1
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.15,1,1
105,105-2,106-1,106-1,0.3103448275862069,0.6904761904761905,0.15,1,1
105,105-2,106-1,106-1,0.7358490566037735,0.6904761904761905,0.37254901960784315,1,1
