銀行,年月,活期存款-固定,活期存款-機動,活儲存款-固定,活儲存款-機動,定存利率-一個月-固定,定存利率-一個月-機動,定存利率-三個月-固定,定存利率-三個月-機動,定存利率-六個月-固定,定存利率-六個月-機動,定存利率-九個月-固定,定存利率-九個月-機動,定存利率-一年期-固定,定存利率-一年期-機動,定存利率-二年期-固定,定存利率-二年期-機動,定存利率-三年期-固定,定存利率-三年期-機動,定儲利率-一年期-固定,定儲利率-一年期-機動,定儲利率-二年期-固定,定儲利率-二年期-機動,定儲利率-三年期-固定,定儲利率-三年期-機動,指數房貸-固定,指數房貸-機動,房貸月指-固定,房貸月指-機動,基準利率-固定,基準利率-機動
第一銀行,094/09,--,0.100,--,0.550,1.430,1.430,1.470,1.470,1.620,1.600,1.740,1.720,1.890,1.845,1.970,1.920,2.000,1.920,1.920,1.870,2.000,1.945,2.050,1.970,--,1.820,NA,NA,--,3.670
第一銀行,094/10,--,0.100,--,0.550,1.430,1.430,1.470,1.470,1.620,1.600,1.740,1.720,1.890,1.845,1.970,1.920,2.000,1.920,1.920,1.870,2.000,1.945,2.050,1.970,--,1.920,NA,NA,--,3.740
第一銀行,094/11,--,0.100,--,0.550,1.430,1.430,1.470,1.470,1.620,1.600,1.740,1.720,1.890,1.845,1.970,1.920,2.000,1.920,1.920,1.870,2.000,1.945,2.050,1.970,--,1.920,NA,NA,--,3.740
第一銀行,094/12,--,0.100,--,0.550,1.500,1.500,1.550,1.550,1.710,1.690,1.840,1.820,1.990,1.945,2.070,2.020,2.100,2.020,2.020,1.970,2.100,2.045,2.150,2.070,--,1.920,NA,NA,--,3.740
第一銀行,095/01,--,0.100,--,0.550,1.500,1.500,1.550,1.550,1.710,1.690,1.840,1.820,1.990,1.945,2.070,2.020,2.100,2.020,2.020,1.970,2.100,2.045,2.150,2.070,--,2.020,NA,NA,--,3.790
第一銀行,095/02,--,0.100,--,0.550,1.500,1.500,1.550,1.550,1.710,1.690,1.840,1.820,1.990,1.945,2.070,2.020,2.100,2.020,2.020,1.970,2.100,2.045,2.150,2.070,--,2.020,NA,NA,--,3.790
第一銀行,095/03,--,0.100,--,0.550,1.500,1.500,1.550,1.550,1.710,1.690,1.840,1.820,1.990,1.945,2.070,2.020,2.100,2.020,2.020,1.970,2.100,2.045,2.150,2.070,--,2.020,NA,NA,--,3.790
第一銀行,095/04,--,0.100,--,0.550,1.570,1.570,1.620,1.620,1.780,1.760,1.910,1.890,2.060,2.015,2.140,2.090,2.170,2.090,2.090,2.040,2.170,2.115,2.220,2.140,--,2.090,NA,NA,--,3.850
第一銀行,095/05,--,0.100,--,0.550,1.570,1.570,1.620,1.620,1.780,1.760,1.910,1.890,2.060,2.015,2.140,2.090,2.170,2.090,2.090,2.040,2.170,2.115,2.220,2.140,--,2.090,NA,NA,--,3.850
第一銀行,095/06,--,0.100,--,0.550,1.570,1.570,1.620,1.620,1.780,1.760,1.910,1.890,2.060,2.015,2.140,2.090,2.170,2.090,2.090,2.040,2.170,2.115,2.220,2.140,--,2.090,NA,NA,--,3.850
第一銀行,095/07,--,0.100,--,0.550,1.640,1.640,1.690,1.690,1.850,1.830,1.980,1.960,2.130,2.085,2.210,2.160,2.240,2.160,2.160,2.110,2.240,2.185,2.290,2.210,--,2.160,NA,NA,--,3.920
第一銀行,095/08,--,0.100,--,0.550,1.640,1.640,1.690,1.690,1.850,1.830,1.980,1.960,2.130,2.085,2.210,2.160,2.240,2.160,2.160,2.110,2.240,2.185,2.290,2.210,--,2.160,NA,NA,--,3.920
第一銀行,095/09,--,0.100,--,0.550,1.640,1.640,1.690,1.690,1.850,1.830,1.980,1.960,2.130,2.085,2.210,2.160,2.240,2.160,2.160,2.110,2.240,2.185,2.290,2.210,--,2.160,NA,NA,--,3.920
第一銀行,095/10,--,0.100,--,0.550,1.710,1.710,1.760,1.760,1.920,1.900,2.040,2.040,2.200,2.155,2.275,2.230,2.305,2.230,2.230,2.180,2.310,2.255,2.360,2.280,--,2.230,NA,NA,--,3.990
第一銀行,095/11,--,0.100,--,0.550,1.710,1.710,1.760,1.760,1.920,1.900,2.040,2.040,2.200,2.155,2.275,2.230,2.305,2.230,2.230,2.180,2.310,2.255,2.360,2.280,--,2.230,NA,NA,--,3.990
第一銀行,095/12,--,0.100,--,0.550,1.710,1.710,1.760,1.760,1.920,1.900,2.040,2.040,2.200,2.155,2.275,2.230,2.305,2.230,2.230,2.180,2.310,2.255,2.360,2.280,--,2.230,NA,NA,--,3.990
第一銀行,096/01,--,0.100,--,0.550,1.740,1.740,1.790,1.790,1.950,1.930,2.080,2.060,2.230,2.185,2.305,2.260,2.335,2.260,2.260,2.210,2.340,2.285,2.390,2.310,--,2.260,NA,NA,--,4.060
第一銀行,096/02,--,0.100,--,0.550,1.740,1.740,1.790,1.790,1.950,1.930,2.080,2.060,2.230,2.185,2.305,2.260,2.335,2.260,2.260,2.210,2.340,2.285,2.390,2.310,--,2.260,NA,NA,--,4.060
第一銀行,096/03,--,0.100,--,0.550,1.740,1.740,1.790,1.790,1.950,1.930,2.080,2.060,2.230,2.185,2.305,2.260,2.335,2.260,2.260,2.210,2.340,2.285,2.390,2.310,--,2.260,NA,NA,--,4.060
第一銀行,096/04,--,0.100,--,0.550,1.770,1.770,1.820,1.820,1.980,1.960,2.110,2.090,2.260,2.215,2.305,2.260,2.335,2.260,2.290,2.240,2.340,2.285,2.390,2.310,--,2.290,NA,NA,--,4.090
第一銀行,096/05,--,0.100,--,0.550,1.770,1.770,1.820,1.820,1.980,1.960,2.110,2.090,2.260,2.215,2.305,2.260,2.335,2.260,2.290,2.240,2.340,2.285,2.390,2.310,--,2.290,NA,NA,--,4.090
第一銀行,096/06,--,0.100,--,0.550,1.970,1.970,2.020,2.020,2.180,2.160,2.310,2.290,2.460,2.415,2.505,2.460,2.535,2.460,2.490,2.440,2.540,2.485,2.590,2.510,--,2.290,NA,NA,--,4.090
第一銀行,096/07,--,0.100,--,0.550,1.970,1.970,2.020,2.020,2.180,2.160,2.310,2.290,2.460,2.415,2.505,2.460,2.535,2.460,2.490,2.440,2.540,2.485,2.590,2.510,--,2.500,NA,NA,--,4.520
第一銀行,096/08,--,0.100,--,0.550,1.970,1.970,2.020,2.020,2.180,2.160,2.310,2.290,2.460,2.415,2.505,2.460,2.535,2.460,2.490,2.440,2.540,2.485,2.590,2.510,--,2.500,NA,NA,--,4.520
第一銀行,096/09,--,0.100,--,0.550,2.030,2.030,2.090,2.090,2.260,2.240,2.390,2.370,2.530,2.495,2.575,2.540,2.605,2.540,2.560,2.520,2.610,2.565,2.660,2.590,--,2.500,NA,NA,--,4.520
第一銀行,096/10,--,0.100,--,0.550,2.030,2.030,2.090,2.090,2.260,2.240,2.390,2.370,2.530,2.495,2.575,2.540,2.605,2.540,2.560,2.520,2.610,2.565,2.660,2.590,--,2.570,NA,NA,--,4.410
第一銀行,096/11,--,0.100,--,0.550,2.030,2.030,2.090,2.090,2.260,2.240,2.390,2.370,2.530,2.495,2.575,2.540,2.605,2.540,2.560,2.520,2.610,2.565,2.660,2.590,--,2.570,NA,NA,--,4.410
第一銀行,096/12,--,0.100,--,0.550,2.090,2.090,2.160,2.160,2.340,2.320,2.470,2.450,2.610,2.575,2.645,2.620,2.675,2.620,2.640,2.600,2.680,2.645,2.730,2.670,--,2.570,NA,NA,--,4.410
第一銀行,097/01,--,0.100,--,0.550,2.090,2.090,2.160,2.160,2.340,2.320,2.470,2.450,2.610,2.575,2.645,2.620,2.675,2.620,2.640,2.600,2.680,2.645,2.730,2.670,--,2.640,NA,NA,--,4.440
第一銀行,097/02,--,0.100,--,0.550,2.090,2.090,2.160,2.160,2.340,2.320,2.470,2.450,2.610,2.575,2.645,2.620,2.675,2.620,2.640,2.600,2.680,2.645,2.730,2.670,--,2.640,NA,NA,--,4.440
第一銀行,097/03,--,0.100,--,0.550,2.090,2.090,2.160,2.160,2.340,2.320,2.470,2.450,2.610,2.575,2.645,2.620,2.675,2.620,2.640,2.600,2.680,2.645,2.730,2.670,--,2.640,NA,NA,--,4.440
第一銀行,097/04,--,0.100,--,0.500,2.130,2.140,2.200,2.210,2.380,2.370,2.510,2.500,2.650,2.625,2.685,2.670,2.715,2.670,2.680,2.650,2.720,2.695,2.770,2.720,--,2.690,NA,NA,--,4.480
第一銀行,097/05,--,0.100,--,0.500,2.130,2.140,2.200,2.210,2.380,2.370,2.510,2.500,2.650,2.625,2.685,2.670,2.715,2.670,2.680,2.650,2.720,2.695,2.770,2.720,--,2.690,NA,NA,--,4.480
第一銀行,097/06,--,0.100,--,0.500,2.130,2.140,2.200,2.210,2.380,2.370,2.510,2.500,2.650,2.625,2.685,2.670,2.715,2.670,2.680,2.650,2.720,2.695,2.770,2.720,--,2.690,NA,NA,--,4.480
第一銀行,097/07,--,0.100,--,0.500,2.190,2.200,2.260,2.270,2.440,2.430,2.570,2.560,2.710,2.685,2.745,2.730,2.775,2.730,2.740,2.710,2.780,2.755,2.830,2.780,--,2.750,NA,NA,--,4.500
第一銀行,097/08,--,0.100,--,0.500,2.190,2.200,2.260,2.270,2.440,2.430,2.570,2.560,2.710,2.685,2.745,2.730,2.775,2.730,2.740,2.710,2.780,2.755,2.830,2.780,--,2.750,NA,NA,--,4.500
第一銀行,097/09,--,0.100,--,0.500,2.190,2.200,2.260,2.270,2.440,2.430,2.570,2.560,2.710,2.685,2.745,2.730,2.775,2.730,2.740,2.710,2.780,2.755,2.830,2.780,--,2.750,NA,NA,--,4.500
第一銀行,097/10,--,0.100,--,0.500,2.025,2.050,2.110,2.120,2.290,2.280,2.440,2.440,2.555,2.535,2.595,2.580,2.625,2.580,2.575,2.560,2.630,2.605,2.670,2.630,--,2.680,NA,NA,--,4.540
第一銀行,097/11,--,0.100,--,0.500,1.655,1.695,1.755,1.770,1.925,1.930,2.070,2.090,2.170,2.185,2.225,2.230,2.250,2.230,2.195,2.210,2.250,2.255,2.290,2.280,--,2.680,NA,NA,--,4.540
第一銀行,097/12,--,0.100,--,0.450,0.905,1.095,1.005,1.120,1.175,1.280,1.320,1.440,1.420,1.535,1.475,1.580,1.500,1.580,1.445,1.560,1.500,1.605,1.540,1.630,--,2.680,--,2.200,--,4.540
第一銀行,098/01,--,0.100,--,0.300,0.405,0.695,0.505,0.720,0.675,0.880,0.820,1.040,0.920,1.135,0.975,1.180,1.000,1.180,0.945,1.160,1.000,1.205,1.040,1.230,--,1.050,--,1.050,--,3.800
第一銀行,098/02,--,0.100,--,0.230,0.305,0.645,0.405,0.670,0.575,0.830,0.720,0.990,0.770,1.085,0.825,1.130,0.850,1.130,0.845,1.110,0.850,1.155,0.890,1.180,--,1.050,--,1.050,--,3.800
第一銀行,098/03,--,0.100,--,0.230,0.305,0.645,0.405,0.670,0.575,0.830,0.720,0.990,0.770,1.085,0.825,1.130,0.850,1.130,0.845,1.110,0.850,1.155,0.890,1.180,--,1.050,--,0.800,--,3.800
第一銀行,098/04,--,0.100,--,0.230,0.305,0.645,0.405,0.670,0.575,0.830,0.720,0.990,0.770,1.085,0.825,1.130,0.850,1.130,0.845,1.110,0.850,1.155,0.890,1.180,--,0.800,--,0.800,--,2.570
第一銀行,098/05,--,0.100,--,0.230,0.305,0.645,0.405,0.670,0.575,0.830,0.720,0.990,0.770,1.085,0.825,1.130,0.850,1.130,0.845,1.110,0.850,1.155,0.890,1.180,--,0.800,--,0.800,--,2.570
第一銀行,098/06,--,0.100,--,0.230,0.305,0.645,0.405,0.670,0.575,0.830,0.720,0.990,0.770,1.085,0.825,1.130,0.850,1.130,0.845,1.110,0.850,1.155,0.890,1.180,--,0.800,--,0.800,--,2.570
第一銀行,098/07,--,0.100,--,0.230,0.305,0.645,0.405,0.670,0.575,0.830,0.720,0.990,0.770,1.085,0.825,1.130,0.850,1.130,0.845,1.110,0.850,1.155,0.890,1.180,--,0.800,--,0.800,--,2.510
第一銀行,098/08,--,0.100,--,0.230,0.305,0.645,0.405,0.670,0.575,0.830,0.720,0.990,0.770,1.085,0.825,1.130,0.850,1.130,0.845,1.110,0.850,1.155,0.890,1.180,--,0.800,--,0.800,--,2.510
第一銀行,098/09,--,0.100,--,0.230,0.305,0.645,0.405,0.670,0.575,0.830,0.720,0.990,0.770,1.085,0.825,1.130,0.850,1.130,0.845,1.110,0.850,1.155,0.890,1.180,--,0.800,--,0.800,--,2.510
