銀行,年月,定存利率-三個月-固定,定存利率-一年期-固定
合作金庫,095/02,1.575,1.990
合作金庫,095/03,1.575,1.990
合作金庫,095/04,1.645,2.060
合作金庫,095/05,1.645,2.060
合作金庫,095/06,1.645,2.060
合作金庫,095/07,1.715,2.130
合作金庫,095/08,1.715,2.130
合作金庫,095/09,1.715,2.130
合作金庫,095/10,1.785,2.200
合作金庫,095/11,1.785,2.200
合作金庫,095/12,1.785,2.200
合作金庫,096/01,1.815,2.230
合作金庫,096/02,1.815,2.230
合作金庫,096/03,1.815,2.230
合作金庫,096/04,1.845,2.260
合作金庫,096/05,1.845,2.260
合作金庫,096/06,2.045,2.460
合作金庫,096/07,2.045,2.460
合作金庫,096/08,2.045,2.460
合作金庫,096/09,2.115,2.540
合作金庫,096/10,2.115,2.540
合作金庫,096/11,2.115,2.540
合作金庫,096/12,2.185,2.620
合作金庫,097/01,2.185,2.620
合作金庫,097/02,2.185,2.620
合作金庫,097/03,2.185,2.620
合作金庫,097/04,2.235,2.670
合作金庫,097/05,2.235,2.670
合作金庫,097/06,2.235,2.670
合作金庫,097/07,2.295,2.730
合作金庫,097/08,2.295,2.730
合作金庫,097/09,2.245,2.680
合作金庫,097/10,2.025,2.430
合作金庫,097/11,1.755,2.180
合作金庫,097/12,1.005,1.420
合作金庫,098/01,0.505,0.920
合作金庫,098/02,0.405,0.770
合作金庫,098/03,0.405,0.770
合作金庫,098/04,0.405,0.770
合作金庫,098/05,0.405,0.770
合作金庫,098/06,0.405,0.770
合作金庫,098/07,0.405,0.770
合作金庫,098/08,0.405,0.770
合作金庫,098/09,0.405,0.770
合作金庫,098/10,0.515,0.880
合作金庫,098/11,0.515,0.880
合作金庫,098/12,0.515,0.880
合作金庫,099/01,0.515,0.880
合作金庫,099/02,0.515,0.880
合作金庫,099/03,0.515,0.880
合作金庫,099/04,0.515,0.880
合作金庫,099/05,0.515,0.880
合作金庫,099/06,0.640,1.005
合作金庫,099/07,0.640,1.005
合作金庫,099/08,0.640,1.005
合作金庫,099/09,0.640,1.005
合作金庫,099/10,0.740,1.130
合作金庫,099/11,0.740,1.130
合作金庫,099/12,0.740,1.130
合作金庫,100/01,0.790,1.190
合作金庫,100/02,0.790,1.190
合作金庫,100/03,0.790,1.190
合作金庫,100/04,0.870,1.280
合作金庫,100/05,0.870,1.280
合作金庫,100/06,0.870,1.280
合作金庫,100/07,0.940,1.360
合作金庫,100/08,0.940,1.360
合作金庫,100/09,0.940,1.360
合作金庫,100/10,0.940,1.360
合作金庫,100/11,0.940,1.360
合作金庫,100/12,0.940,1.360
合作金庫,101/01,0.940,1.360
合作金庫,101/02,0.940,1.360
合作金庫,101/03,0.940,1.360
合作金庫,101/04,0.940,1.360
合作金庫,101/05,0.940,1.360
合作金庫,101/06,0.940,1.360
合作金庫,101/07,0.940,1.360
合作金庫,101/08,0.940,1.360
合作金庫,101/09,0.940,1.360
合作金庫,101/10,0.940,1.360
合作金庫,101/11,0.940,1.360
合作金庫,101/12,0.940,1.360
合作金庫,102/01,0.940,1.360
合作金庫,102/02,0.940,1.360
合作金庫,102/03,0.940,1.360
合作金庫,102/04,0.940,1.360
合作金庫,102/05,0.940,1.360
合作金庫,102/06,0.940,1.360
合作金庫,102/07,0.940,1.360
合作金庫,102/08,0.940,1.360
合作金庫,102/09,0.940,1.360
合作金庫,102/10,0.940,1.360
合作金庫,102/11,0.940,1.360
合作金庫,102/12,0.940,1.360
合作金庫,103/01,0.940,1.360
合作金庫,103/02,0.940,1.360
合作金庫,103/03,0.940,1.360
合作金庫,103/04,0.940,1.360
合作金庫,103/05,0.940,1.360
合作金庫,103/06,0.940,1.360
合作金庫,103/07,0.940,1.360
合作金庫,103/08,0.940,1.360
合作金庫,103/09,0.940,1.360
合作金庫,103/10,0.940,1.360
合作金庫,103/11,0.940,1.360
合作金庫,103/12,0.940,1.360
合作金庫,104/01,0.940,1.360
合作金庫,104/02,0.940,1.360
合作金庫,104/03,0.940,1.360
合作金庫,104/04,0.940,1.360
合作金庫,104/05,0.940,1.360
合作金庫,104/06,0.940,1.360
合作金庫,104/07,0.940,1.360
合作金庫,104/08,0.940,1.360
合作金庫,104/09,0.870,1.285
合作金庫,104/10,0.870,1.285
合作金庫,104/11,0.870,1.285
合作金庫,104/12,0.780,1.205
合作金庫,105/01,0.780,1.205
合作金庫,105/02,0.780,1.205
合作金庫,105/03,0.710,1.125
合作金庫,105/04,0.710,1.125
合作金庫,105/05,0.710,1.125
合作金庫,105/06,0.710,1.125
合作金庫,105/07,0.640,1.035
合作金庫,105/08,0.640,1.035
合作金庫,105/09,0.640,1.035
合作金庫,105/10,0.640,1.035
合作金庫,105/11,0.640,1.035
合作金庫,105/12,0.640,1.035
合作金庫,106/01,0.640,1.035
合作金庫,106/02,0.640,1.035
合作金庫,106/03,0.640,1.035
合作金庫,106/04,0.640,1.035
合作金庫,106/05,0.640,1.035
合作金庫,106/06,0.640,1.035
合作金庫,106/07,0.640,1.035
合作金庫,106/08,0.640,1.035
合作金庫,106/09,0.640,1.035
合作金庫,106/10,0.640,1.035
合作金庫,106/11,0.640,1.035
合作金庫,106/12,0.640,1.035
合作金庫,107/01,0.640,1.035
合作金庫,107/02,0.640,1.035
合作金庫,107/03,0.640,1.035
合作金庫,107/04,0.640,1.035
合作金庫,107/05,0.640,1.035
合作金庫,107/06,0.640,1.035
合作金庫,107/07,0.640,1.035
合作金庫,107/08,0.640,1.035
土地銀行,097/11,1.755,2.175
土地銀行,097/12,1.005,1.425
土地銀行,098/01,0.505,0.925
土地銀行,098/02,0.455,0.775
土地銀行,098/03,0.455,0.775
土地銀行,098/04,0.455,0.775
土地銀行,098/05,0.455,0.775
土地銀行,098/06,0.455,0.775
土地銀行,098/07,0.455,0.775
土地銀行,098/08,0.455,0.775
土地銀行,098/09,0.455,0.775
土地銀行,098/10,0.555,0.885
土地銀行,098/11,0.555,0.885
土地銀行,098/12,0.555,0.885
土地銀行,099/01,0.555,0.885
土地銀行,099/02,0.555,0.885
土地銀行,099/03,0.555,0.885
土地銀行,099/04,0.555,0.885
土地銀行,099/05,0.555,0.885
土地銀行,099/06,0.640,1.010
土地銀行,099/07,0.640,1.010
土地銀行,099/08,0.640,1.010
土地銀行,099/09,0.640,1.010
土地銀行,099/10,0.740,1.130
土地銀行,099/11,0.740,1.130
土地銀行,099/12,0.740,1.130
土地銀行,100/01,0.790,1.190
土地銀行,100/02,0.790,1.190
土地銀行,100/03,0.790,1.190
土地銀行,100/04,0.870,1.280
土地銀行,100/05,0.870,1.280
土地銀行,100/06,0.870,1.280
土地銀行,100/07,0.940,1.360
土地銀行,100/08,0.940,1.360
土地銀行,100/09,0.940,1.360
土地銀行,100/10,0.940,1.360
土地銀行,100/11,0.940,1.360
土地銀行,100/12,0.940,1.360
土地銀行,101/01,0.940,1.360
土地銀行,101/02,0.940,1.360
土地銀行,101/03,0.940,1.360
土地銀行,101/04,0.940,1.360
土地銀行,101/05,0.940,1.360
土地銀行,101/06,0.940,1.360
土地銀行,101/07,0.940,1.360
土地銀行,101/08,0.940,1.360
土地銀行,101/09,0.940,1.360
土地銀行,101/10,0.940,1.360
土地銀行,101/11,0.940,1.360
土地銀行,101/12,0.940,1.360
土地銀行,102/01,0.940,1.360
土地銀行,102/02,0.940,1.360
土地銀行,102/03,0.940,1.360
土地銀行,102/04,0.940,1.360
土地銀行,102/05,0.940,1.360
土地銀行,102/06,0.940,1.360
土地銀行,102/07,0.940,1.360
土地銀行,102/08,0.940,1.360
土地銀行,102/09,0.940,1.360
土地銀行,102/10,0.940,1.360
土地銀行,102/11,0.940,1.360
土地銀行,102/12,0.940,1.360
土地銀行,103/01,0.940,1.360
土地銀行,103/02,0.940,1.360
土地銀行,103/03,0.940,1.360
土地銀行,103/04,0.940,1.360
土地銀行,103/05,0.940,1.360
土地銀行,103/06,0.940,1.360
土地銀行,103/07,0.940,1.360
土地銀行,103/08,0.940,1.360
土地銀行,103/09,0.940,1.360
土地銀行,103/10,0.940,1.360
土地銀行,103/11,0.940,1.360
土地銀行,103/12,0.940,1.360
土地銀行,104/01,0.940,1.360
土地銀行,104/02,0.940,1.360
土地銀行,104/03,0.940,1.360
土地銀行,104/04,0.940,1.360
土地銀行,104/05,0.940,1.360
土地銀行,104/06,0.940,1.360
土地銀行,104/07,0.940,1.360
土地銀行,104/08,0.940,1.360
土地銀行,104/09,0.870,1.285
土地銀行,104/10,0.870,1.285
土地銀行,104/11,0.870,1.285
土地銀行,104/12,0.800,1.205
土地銀行,105/01,0.800,1.205
土地銀行,105/02,0.800,1.205
土地銀行,105/03,0.730,1.125
土地銀行,105/04,0.730,1.125
土地銀行,105/05,0.730,1.125
土地銀行,105/06,0.730,1.125
土地銀行,105/07,0.630,1.035
土地銀行,105/08,0.630,1.035
土地銀行,105/09,0.630,1.035
土地銀行,105/10,0.630,1.035
土地銀行,105/11,0.630,1.035
土地銀行,105/12,0.630,1.035
土地銀行,106/01,0.630,1.035
土地銀行,106/02,0.630,1.035
土地銀行,106/03,0.630,1.035
土地銀行,106/04,0.630,1.035
土地銀行,106/05,0.630,1.035
土地銀行,106/06,0.630,1.035
土地銀行,106/07,0.630,1.035
土地銀行,106/08,0.630,1.035
土地銀行,106/09,0.630,1.035
土地銀行,106/10,0.630,1.035
土地銀行,106/11,0.630,1.035
土地銀行,106/12,0.630,1.035
土地銀行,107/01,0.630,1.035
